,name,link,name_clean,objectID
849,Mediterranean tonic water,https://diffordsguide.com/beer-wine-spirits/4681/fever-tree-mediterranean-tonic-water,mediterranean tonic water,mediterranean-tonic-water
865,Giffard CrÃ¨me de Myrtille,https://diffordsguide.com/beer-wine-spirits/1688/giffard-creme-de-myrtille,giffard crme de myrtille,giffard-crme-de-myrtille
876,Lime (fresh fruit),,lime fresh fruit,lime-fresh-fruit
877,Red bell pepper,,red bell pepper,red-bell-pepper
878,"Red jalapeÃ±o/fresno chili (10,000 SHU) deseeded & chopped",,red jalapeofresno chili 10000 shu deseeded  chopped,red-jalapeofresno-chili-10000-shu-deseeded--chopped
890,Peach purÃ©e,,peach pure,peach-pure
896,Bob's Vanilla bitters,https://diffordsguide.com/beer-wine-spirits/6686/bobs-vanilla-bitters,bobs vanilla bitters,bobs-vanilla-bitters
898,Banana tea,https://diffordsguide.com/encyclopedia/2346/cocktails/banana-tea,banana tea,banana-tea
901,Cardamaro amaro,https://diffordsguide.com/beer-wine-spirits/5636/cardamaro,cardamaro amaro,cardamaro-amaro
903,Xocolatl mole bitters,https://diffordsguide.com/beer-wine-spirits/2288/bittermens-xocolatl-mole-bitters,xocolatl mole bitters,xocolatl-mole-bitters
904,Junmai ginjÅ sake,https://diffordsguide.com/beer-wine-spirits/4873/kikusui-junmai-ginjo,junmai ginj sake,junmai-ginj-sake
906,Hot pepper sauce (red),,hot pepper sauce red,hot-pepper-sauce-red
907,Worcestershire sauce,,worcestershire sauce,worcestershire-sauce
908,Celery salt,,celery salt,celery-salt
909,Black pepper,,black pepper,black-pepper
913,Rosemary sprig,,rosemary sprig,rosemary-sprig
915,Shiraz red wine,,shiraz red wine,shiraz-red-wine
922,Italian Brandy,,italian brandy,italian-brandy
935,Grapefruit juice (ruby red),,grapefruit juice ruby red,grapefruit-juice-ruby-red
939,Giffard Creme de Chataigne,https://diffordsguide.com/beer-wine-spirits/2014/giffard-creme-de-chataigne,giffard creme de chataigne,giffard-creme-de-chataigne
945,Raspberry jam,,raspberry jam,raspberry-jam
947,Poire William eau de vie,https://diffordsguide.com/beer-wine-spirits/5070/schladerer-williams-birne-williams-pear,poire william eau de vie,poire-william-eau-de-vie
965,Coconut rum (35-40% alc./vol.),https://diffordsguide.com/beer-wine-spirits/297/koko-kanu-liqueur,coconut rum 3540 alcvol,coconut-rum-3540-alcvol
972,Angostura Aromatic Bitters (optional),https://diffordsguide.com/beer-wine-spirits/145/angostura-aromatic-bitters,angostura aromatic bitters optional,angostura-aromatic-bitters-optional
976,Giffard Peppermint Pastille crÃ¨me de menthe,https://diffordsguide.com/beer-wine-spirits/2015/giffard-peppermint-pastille,giffard peppermint pastille crme de menthe,giffard-peppermint-pastille-crme-de-menthe
990,Apple sugar syrup,https://diffordsguide.com/beer-wine-spirits/3914/monin-apple-syrup,apple sugar syrup,apple-sugar-syrup
1010,Passion fruit syrup,https://diffordsguide.com/beer-wine-spirits/6322/giffard-passion-fruit-syrup,passion fruit syrup,passion-fruit-syrup
1011,Orange marmalade,,orange marmalade,orange-marmalade
1018,Picon Amer,https://diffordsguide.com/beer-wine-spirits/144/picon-amer,picon amer,picon-amer
1036,Medium dry apple cider,,medium dry apple cider,medium-dry-apple-cider
1038,Pimento bitters,https://diffordsguide.com/beer-wine-spirits/2788/dale-degroffs-pimento-aromatic-bitters,pimento bitters,pimento-bitters
1050,Rose petal liqueur,,rose petal liqueur,rose-petal-liqueur
1052,Maraschino syrup (from cherry jar),,maraschino syrup from cherry jar,maraschino-syrup-from-cherry-jar
1057,Cola,,cola,cola
1081,Canadian blended whisky,,canadian blended whisky,canadian-blended-whisky
1088,Difford's Margarita Bitters (optional),https://diffordsguide.com/beer-wine-spirits/2705/diffords-margarita-bitters,diffords margarita bitters optional,diffords-margarita-bitters-optional
1091,Mint bitters,,mint bitters,mint-bitters
1100,Vanilla extract,,vanilla extract,vanilla-extract
1108,Camomile tea (cold),,camomile tea cold,camomile-tea-cold
1112,Figs,,figs,figs
1118,Tomato juice,,tomato juice,tomato-juice
1122,Horseradish sauce,,horseradish sauce,horseradish-sauce
1127,Blood orange juice,,blood orange juice,blood-orange-juice
1152,Difford's Daiquiri Bitters,https://diffordsguide.com/beer-wine-spirits/3134/diffords-daiquiri-bitters,diffords daiquiri bitters,diffords-daiquiri-bitters
1163,Green cardamom pods,,green cardamom pods,green-cardamom-pods
1165,Yoghurt liqueur,https://diffordsguide.com/beer-wine-spirits/795/bols-natural-yoghurt,yoghurt liqueur,yoghurt-liqueur
1182,Soy milk,,soy milk,soy-milk
1186,Malt extract,,malt extract,malt-extract
1196,Kina aromatised wine,https://diffordsguide.com/beer-wine-spirits/5034/tempus-fugit-kina-laero-dor,kina aromatised wine,kina-aromatised-wine
1200,Milk (whole milk/full 3-4% fat),,milk whole milkfull 34 fat,milk-whole-milkfull-34-fat
1228,Orange peel,,orange peel,orange-peel
1254,Vermouth amaro,https://diffordsguide.com/beer-wine-spirits/4655/cocchi-vermouth-amaro,vermouth amaro,vermouth-amaro
1266,Cranberry flavoured vodka,,cranberry flavoured vodka,cranberry-flavoured-vodka
1289,Raisins,,raisins,raisins
1316,Stone's Original Green Ginger Wine,https://diffordsguide.com/beer-wine-spirits/164/stones-original,stones original green ginger wine,stones-original-green-ginger-wine
1371,Overproof pot still rum,https://diffordsguide.com/beer-wine-spirits/688/smith-and-cross-pot-still-jamaican-rum,overproof pot still rum,overproof-pot-still-rum
1427,Claret red wine,,claret red wine,claret-red-wine
1455,Marsala Superiore DOC secco wine,,marsala superiore doc secco wine,marsala-superiore-doc-secco-wine
1474,Cream of coconut,,cream of coconut,cream-of-coconut
1487,Banana (ripe & peeled),,banana ripe  peeled,banana-ripe--peeled
1575,Celery stick (chopped) (chopped),,celery stick chopped chopped,celery-stick-chopped-chopped
1577,Rutte Celery Dry Gin,https://diffordsguide.com/beer-wine-spirits/5462/rutte-celery-dry-gin,rutte celery dry gin,rutte-celery-dry-gin
1581,White wine vinegar (Chardonnay),,white wine vinegar chardonnay,white-wine-vinegar-chardonnay
1582,Celery bitters,https://diffordsguide.com/beer-wine-spirits/2956/the-bitter-truth-celery-bitters,celery bitters,celery-bitters
1591,Saline solution 4:1 (20g sea salt to 80g water) (optional),,saline solution 41 20g sea salt to 80g water optional,saline-solution-41-20g-sea-salt-to-80g-water-optional
1602,Kuromitsu Japanese brown sugar syrup,,kuromitsu japanese brown sugar syrup,kuromitsu-japanese-brown-sugar-syrup
1608,Wasabi leaf,,wasabi leaf,wasabi-leaf
1609,Tennesse whiskey,https://diffordsguide.com/beer-wine-spirits/309/jack-daniels-old-no7-brand,tennesse whiskey,tennesse-whiskey
